year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,buses_and_coaches,HGVs_2_rigid_axle,HGVs_3_rigid_axle,HGVs_4_or_more_rigid_axle,HGVs_3_or_4_articulated_axle,HGVs_5_articulated_axle,HGVs_6_articulated_axle,all_HGVs
2023,M56,TM,5,4,381560,387149,53.380865,-2.2786731,S,298,789,209,248,183,1250,1170,3849
2023,M56,TM,9,8,371100,385200,53.362876,-2.4357355,E,77,279,93,170,39,225,1323,2130
2023,M56,TM,9,8,371100,385200,53.362876,-2.4357355,W,49,337,87,145,41,166,1214,1990
2023,M62,TM,9,10,362100,392040,53.423784,-2.5717932,E,65,1118,213,344,413,665,3817,6569
2023,M62,TM,9,10,362100,392040,53.423784,-2.5717932,W,56,1091,205,309,312,628,3653,6199
2023,M60,TM,17,18,381800,405391,53.544839,-2.2761281,E,105,1730,316,601,205,1337,5379,9568
2023,M60,TM,17,18,381800,405391,53.544839,-2.2761281,W,108,1575,650,569,338,1327,4969,9428
2023,M62,TM,22,LA Boundary,404000,416600,53.645893,-1.9409665,E,68,1843,411,142,539,2880,3284,9100
2023,M62,TM,22,LA Boundary,404000,416600,53.645893,-1.9409665,W,78,1967,411,163,514,2783,3415,9254
2023,M62,TM,27,28,426000,426200,53.731551,-1.607374,E,9,2190,511,354,368,858,6929,11210
2023,M62,TM,27,28,426000,426200,53.731551,-1.607374,W,9,2309,623,395,452,1015,6627,11420
2023,M60,TM,12,11,375152,398500,53.482627,-2.3759025,N,92,1041,160,508,84,246,1742,3779
2023,M60,TM,12,11,375152,398500,53.482627,-2.3759025,S,77,674,251,750,48,231,1782,3735
2023,M60,TM,6,LA Boundary,380885,391590,53.420758,-2.2890909,N,57,897,217,314,75,225,1447,3176
2023,M60,TM,6,LA Boundary,380885,391590,53.420758,-2.2890909,S,54,632,228,296,60,239,1096,2552
2023,M60,TM,19,18,383001,405701,53.547666,-2.2580209,E,70,779,191,402,91,258,1105,2827
2023,M60,TM,19,18,383001,405701,53.547666,-2.2580209,W,79,1079,180,440,104,271,979,3054
2023,M621,TM,RD SPLIT,1,426500,429600,53.762085,-1.5995049,N,58,797,168,143,35,74,539,1757
2023,M621,TM,RD SPLIT,1,426500,429600,53.762085,-1.5995049,S,45,536,155,154,10,50,445,1350
2023,M25,TM,23,22,521708,201110,51.695553,-0.240445,E,110,2669,432,611,311,3837,4277,12138
2023,M25,TM,23,22,521708,201110,51.695553,-0.240445,W,126,1790,412,597,277,2787,4985,10848
2023,M25,TM,17,18,503800,195000,51.644229,-0.50125972,N,78,1463,479,499,287,648,3501,6877
2023,M25,TM,17,18,503800,195000,51.644229,-0.50125972,S,66,1473,244,355,10,1794,3726,7601
2023,M67,TM,2,3,394490,395211,53.453626,-2.0844405,E,38,387,72,81,78,328,404,1349
2023,M67,TM,2,3,394490,395211,53.453626,-2.0844405,W,38,400,75,60,71,271,382,1260
2023,M25,TM,3,2,554457,170565,51.413071,0.21964272,N,108,1427,330,461,243,2122,2663,7246
2023,M25,TM,3,2,554457,170565,51.413071,0.21964272,S,122,1293,345,489,264,2012,3081,7483
2023,M56,TM,M56 spur,14,344643,373500,53.255605,-2.8312166,E,114,1028,258,364,271,1973,1836,5730
2023,M56,TM,M56 spur,14,344643,373500,53.255605,-2.8312166,W,83,958,210,364,161,1936,2137,5765
2023,M58,TM,1,3,342016,403231,53.522532,-2.8760592,E,39,294,72,151,25,153,739,1435
2023,M58,TM,1,3,342016,403231,53.522532,-2.8760592,W,50,259,90,146,29,125,872,1521
2023,M20,TM,10,11,608000,138750,51.110288,0.97011179,E,82,270,63,73,109,2535,832,3882
2023,M20,TM,10,11,608000,138750,51.110288,0.97011179,W,52,224,87,87,70,1813,1537,3817
2023,M25,TM,11,10,505600,161200,51.34009,-0.48535719,N,100,1167,348,521,330,2338,2433,7135
2023,M25,TM,11,10,505600,161200,51.34009,-0.48535719,S,81,1475,352,511,330,3066,1287,7021
2023,M25,TM,16,15,504000,183357,51.539542,-0.501817,N,66,3820,515,776,546,1464,4286,11406
2023,M25,TM,16,15,504000,183357,51.539542,-0.501817,S,77,3896,487,889,463,1248,4008,10990
2023,M25,TM,20,21,510000,202901,51.714064,-0.40920576,E,46,2005,419,587,265,1039,4310,8625
2023,M25,TM,20,21,510000,202901,51.714064,-0.40920576,W,46,1718,360,641,225,787,3830,7561
2023,M25,TM,LA Boundary,27,549300,198760,51.667785,0.15749389,E,19,1714,296,407,393,3581,6517,12908
2023,M25,TM,LA Boundary,27,549300,198760,51.667785,0.15749389,W,16,1890,269,484,406,3924,6959,13932
2023,M11,TM,9,10,547270,245500,52.088261,0.14808793,N,53,378,104,69,130,871,1945,3497
2023,M11,TM,9,10,547270,245500,52.088261,0.14808793,S,37,415,98,64,123,1379,2301,4380
2023,M54,TM,4,3,375900,308800,52.676361,-2.3578766,E,72,718,138,329,41,319,1401,2945
2023,M54,TM,4,3,375900,308800,52.676361,-2.3578766,W,84,752,134,285,57,311,1500,3038
2023,M20,TM,2,2,561000,159600,51.312739,0.30868761,E,33,437,86,246,286,1166,2055,4277
2023,M20,TM,2,2,561000,159600,51.312739,0.30868761,W,47,371,38,231,246,781,1082,2748
2023,M56,TM,8,7,374250,385200,53.363039,-2.3884026,C,119,586,171,300,76,371,2410,3914
2023,M18,TM,M1,M18 SPUR,448325,388413,53.390352,-1.2748273,N,72,598,68,166,91,2447,2286,5655
2023,M18,TM,M1,M18 SPUR,448325,388413,53.390352,-1.2748273,S,74,641,80,168,155,2004,2170,5217
2023,M4,TM,4,A408,507489,178674,51.496798,-0.45295527,N,190,864,90,278,48,49,183,1512
2023,M4,TM,4,A408,507489,178674,51.496798,-0.45295527,S,197,902,92,282,43,59,183,1561
2023,M3,TM,4,A331,486850,157970,51.314223,-0.75524918,E,45,545,109,134,93,513,922,2316
2023,M3,TM,4,A331,486850,157970,51.314223,-0.75524918,W,24,295,59,73,51,278,500,1256
2023,M621,TM,4,5,430490,431176,53.776032,-1.5388281,N,81,959,180,251,61,209,592,2252
2023,M621,TM,4,5,430490,431176,53.776032,-1.5388281,S,78,1094,177,267,95,237,645,2516
2023,M42,TM,M42 split,Jn1 38,396790,273090,52.355862,-2.0485557,E,54,1327,294,181,205,877,2970,5854
2023,M42,TM,M42 split,Jn1 38,396790,273090,52.355862,-2.0485557,W,71,1372,299,173,179,831,2934,5787
2023,M18,TM,6,LA Boundary,468457,415863,53.634822,-0.96617331,N,23,615,127,178,167,2031,2728,5846
2023,M18,TM,6,LA Boundary,468457,415863,53.634822,-0.96617331,S,26,543,99,176,154,1637,3348,5956
2023,M621,TM,A650 SPUR,RD SPLIT,424290,428000,53.747811,-1.6331525,C,29,398,84,72,17,37,270,878
2023,M621,TM,A62,SPUR,425000,427910,53.746969,-1.6223938,C,45,536,155,154,10,50,445,1350
2023,M60,TM,8,7,378714,393628,53.438993,-2.3218961,E,67,705,225,378,55,451,975,2789
2023,M60,TM,8,7,378714,393628,53.438993,-2.3218961,W,59,805,165,324,84,248,1363,2990
2023,M40,TM,16,15,421004,266974,52.300491,-1.6934085,E,131,1319,175,317,23,382,2602,4818
2023,M40,TM,16,15,421004,266974,52.300491,-1.6934085,W,136,1503,232,293,31,496,2481,5036
2023,M40,TM,LA Boundary,LA Boundary,462820,210000,51.785143,-1.0907047,N,43,1284,153,86,183,807,1112,3624
2023,M40,TM,LA Boundary,LA Boundary,462820,210000,51.785143,-1.0907047,S,30,1034,119,71,101,654,1171,3151
2023,M40,TM,12,LA Boundary,440000,250000,52.146846,-1.4168549,N,86,1616,158,144,289,1161,2025,5394
2023,M40,TM,12,LA Boundary,440000,250000,52.146846,-1.4168549,S,99,1364,170,126,177,1225,2241,5303
2023,M57,TM,5,6,340850,397200,53.468199,-2.8925048,C,145,1392,294,394,234,1295,2984,6592
2023,M6,TM,M6 (32) North,M6 (32) South,354205,434650,53.806116,-2.6968707,N,61,298,55,75,208,866,1798,3299
2023,M6,TM,M6 (32) North,M6 (32) South,354205,434650,53.806116,-2.6968707,S,85,467,87,145,79,1272,1522,3571
2023,M3,TM,11,12,446750,124854,51.021166,-1.3348451,N,166,914,159,209,269,421,2791,4763
2023,M3,TM,11,12,446750,124854,51.021166,-1.3348451,S,138,1193,141,264,122,1996,1288,5004
2023,M3,TM,9,10,449609,129438,51.062144,-1.2934602,N,140,854,193,420,50,116,3277,4911
2023,M3,TM,9,10,449609,129438,51.062144,-1.2934602,S,112,883,193,208,119,439,2929,4770
2023,M4,TM,25,24,332868,189525,51.600548,-2.9706545,E,119,856,248,178,193,523,2621,4618
2023,M4,TM,25,24,332868,189525,51.600548,-2.9706545,W,118,759,288,215,130,424,2621,4437
2023,M4,TM,35,LA Boundary,301385,180142,51.511569,-3.422448,E,82,684,211,241,109,419,1591,3256
2023,M4,TM,35,LA Boundary,301385,180142,51.511569,-3.422448,W,75,584,230,263,29,20,1956,3083
2023,M4,TM,49,48,257493,207123,51.744633,-4.0655521,N,35,441,163,134,30,122,606,1496
2023,M4,TM,49,48,257493,207123,51.744633,-4.0655521,S,38,379,144,149,33,120,615,1441
2023,M9,TM,3,2,304400,677800,55.983619,-3.533795,E,33,491,66,117,54,217,402,1347
2023,M9,TM,3,2,304400,677800,55.983619,-3.533795,W,37,471,93,142,37,196,498,1438
2023,M74,TM,9,8,277444,647780,55.70792,-3.9520133,N,31,350,139,149,156,1258,1993,4045
2023,M74,TM,9,8,277444,647780,55.70792,-3.9520133,S,39,431,140,184,203,1658,1918,4534
2023,M90,TM,1,2,312450,683800,56.039048,-3.4067782,N,252,300,144,222,53,292,1091,2101
2023,M90,TM,1,2,312450,683800,56.039048,-3.4067782,S,227,565,92,206,86,207,1198,2354
2023,M8,TM,13,12,263000,666600,55.873026,-4.1911784,E,300,540,104,164,37,375,310,1530
2023,M8,TM,13,12,263000,666600,55.873026,-4.1911784,W,311,432,66,115,22,230,241,1106
2023,M8,TM,23,22,256000,664200,55.849439,-4.301682,E,120,468,136,114,50,68,499,1335
2023,M8,TM,23,22,256000,664200,55.849439,-4.301682,W,142,488,123,147,48,61,449,1316
2023,M876,TM,M9,3,290000,685700,56.051477,-3.7677128,E,52,696,329,402,32,125,793,2377
2023,M876,TM,M9,3,290000,685700,56.051477,-3.7677128,W,77,525,318,369,44,119,514,1889
2023,M1,TM,5,6,512360,200200,51.689321,-0.37592999,N,251,675,101,346,93,246,635,2097
2023,M1,TM,5,6,512360,200200,51.689321,-0.37592999,S,286,568,99,334,87,200,499,1787
2023,M1,TM,19,20,455839,279518,52.410823,-1.1805268,N,105,1038,218,266,300,1914,3856,7592
2023,M1,TM,19,20,455839,279518,52.410823,-1.1805268,S,121,769,220,232,174,827,4684,6907
2023,M1,TM,LA Boundary,25,447291,333691,52.898589,-1.2984321,N,107,1560,132,384,417,927,5381,8801
2023,M1,TM,LA Boundary,25,447291,333691,52.898589,-1.2984321,S,134,1447,332,313,520,3298,3587,9496
2023,M1,TM,34,35,438000,393350,53.435567,-1.429476,N,87,1339,203,402,228,756,2741,5668
2023,M1,TM,34,35,438000,393350,53.435567,-1.429476,S,126,1290,295,406,266,721,3232,6210
2023,M1,TM,39,40,429707,419911,53.67483,-1.5517862,N,103,1144,304,312,216,535,3506,6016
2023,M1,TM,39,40,429707,419911,53.67483,-1.5517862,S,107,1159,354,307,281,597,3664,6363
2023,M2,TM,LA Boundary,SPUR,582995,163573,51.341784,0.62598254,E,54,578,80,276,127,1109,1445,3615
2023,M2,TM,LA Boundary,SPUR,582995,163573,51.341784,0.62598254,W,82,559,78,251,157,1110,1456,3612
2023,M3,TM,Junction 9 M3,Junction 8 M3,452970,138370,51.142154,-1.2441953,N,75,579,105,105,177,789,467,2221
2023,M3,TM,Junction 9 M3,Junction 8 M3,452970,138370,51.142154,-1.2441953,S,66,532,110,103,145,726,569,2184
2023,M4,TM,LA Boundary,4,506000,178400,51.494616,-0.4744791,E,391,1847,149,709,112,222,1007,4046
2023,M4,TM,LA Boundary,4,506000,178400,51.494616,-0.4744791,W,378,1846,161,670,93,319,951,4039
2023,M4,TM,LA Boundary,J8/9,486000,176400,51.480029,-0.76298178,N,229,1370,128,287,193,509,1746,4233
