year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,all_HGVs,2_axle,3_axle,4_axle,5_axle,6_axle,7_axle,Mean GVW
2023,M40,TM,12,LA Boundary,440000,250000,52.146846,-1.4168549,N,5394,1665,246,314,1208,2042,4,28407.197481292205
2023,M40,TM,12,LA Boundary,440000,250000,52.146846,-1.4168549,S,5303,1421,243,213,1266,2255,3,29749.761710794297
2023,M57,TM,5,6,340850,397200,53.468199,-2.8925048,C,6592,1475,397,402,1424,3029,11,30805.801721579104
2023,M6,TM,M6 (32) North,M6 (32) South,354205,434650,53.806116,-2.6968707,N,3299,333,118,211,891,1807,2,34024.83908387864
2023,M6,TM,M6 (32) North,M6 (32) South,354205,434650,53.806116,-2.6968707,S,3571,516,137,142,1320,1539,4,32464.088026243848
2023,M3,TM,11,12,446750,124854,51.021166,-1.3348451,N,4763,1009,277,333,490,2815,6,32664.11379310345
2023,M3,TM,11,12,446750,124854,51.021166,-1.3348451,S,5004,1272,221,241,2083,1318,7,28425.154609101515
2023,M3,TM,9,10,449609,129438,51.062144,-1.2934602,N,4911,934,262,264,254,3325,11,34260.79386138614
2023,M3,TM,9,10,449609,129438,51.062144,-1.2934602,S,4770,947,262,208,507,2953,6,33619.87057137006
2023,M4,TM,25,24,332868,189525,51.600548,-2.9706545,E,4618,924,333,254,581,2641,5,32609.71401435205
2023,M4,TM,25,24,332868,189525,51.600548,-2.9706545,W,4437,827,361,221,495,2646,6,32933.830333625985
2023,M4,TM,35,LA Boundary,301385,180142,51.511569,-3.422448,E,3256,731,265,218,498,1619,7,31091.64649490713
2023,M4,TM,35,LA Boundary,301385,180142,51.511569,-3.422448,W,3083,627,267,164,106,1986,7,33037.89800443459
2023,M4,TM,49,48,257493,207123,51.744633,-4.0655521,N,1496,461,183,96,166,621,4,27757.548007838013
2023,M4,TM,49,48,257493,207123,51.744633,-4.0655521,S,1441,401,166,106,169,632,4,28234.63464140731
2023,M9,TM,3,2,304400,677800,55.983619,-3.533795,E,1347,510,90,106,255,415,3,25596.020304568527
2023,M9,TM,3,2,304400,677800,55.983619,-3.533795,W,1438,492,116,105,243,514,4,27038.27883310719
2023,M74,TM,9,8,277444,647780,55.70792,-3.9520133,N,4045,368,179,208,1307,2010,4,34093.246810598626
2023,M74,TM,9,8,277444,647780,55.70792,-3.9520133,S,4534,453,193,265,1718,1939,5,33110.62059916904
2023,M90,TM,1,2,312450,683800,56.039048,-3.4067782,N,2101,444,261,162,365,1117,6,30694.509978768576
2023,M90,TM,1,2,312450,683800,56.039048,-3.4067782,S,2354,695,204,180,275,1222,6,29613.348567002326
2023,M8,TM,13,12,263000,666600,55.873026,-4.1911784,E,1530,712,239,117,429,329,4,23012.931147540985
2023,M8,TM,13,12,263000,666600,55.873026,-4.1911784,W,1106,610,203,79,268,254,3,22324.60338743825
2023,M8,TM,23,22,256000,664200,55.849439,-4.301682,E,1335,537,196,102,105,512,3,25626.440549828178
2023,M8,TM,23,22,256000,664200,55.849439,-4.301682,W,1316,569,192,118,109,466,4,24989.722222222223
2023,M876,TM,M9,3,290000,685700,56.051477,-3.7677128,E,2377,726,357,239,257,839,11,26591.40469328942
2023,M876,TM,M9,3,290000,685700,56.051477,-3.7677128,W,1889,569,359,232,240,556,10,25485.53458799593
2023,M1,TM,5,6,512360,200200,51.689321,-0.37592999,N,2097,819,224,261,359,675,9,24950.115466553045
2023,M1,TM,5,6,512360,200200,51.689321,-0.37592999,S,1787,732,236,249,310,537,9,24552.05740472745
2023,M1,TM,19,20,455839,279518,52.410823,-1.1805268,N,7592,1098,316,388,2001,3887,7,33223.38989216578
2023,M1,TM,19,20,455839,279518,52.410823,-1.1805268,S,6907,838,303,266,903,4711,6,36041.40244770172
2023,M1,TM,LA Boundary,25,447291,333691,52.898589,-1.2984321,N,8801,1621,251,548,1053,5425,10,33969.78670857656
2023,M1,TM,LA Boundary,25,447291,333691,52.898589,-1.2984321,S,9496,1524,481,594,3401,3623,8,31143.84934067075
2023,M1,TM,34,35,438000,393350,53.435567,-1.429476,N,5668,1389,280,401,888,2787,11,31015.082870048645
2023,M1,TM,34,35,438000,393350,53.435567,-1.429476,S,6210,1362,396,435,854,3279,11,31553.702382830994
2023,M1,TM,39,40,429707,419911,53.67483,-1.5517862,N,6016,1203,386,344,637,3542,8,32716.361601307188
2023,M1,TM,39,40,429707,419911,53.67483,-1.5517862,S,6363,1220,449,395,698,3699,8,32901.75436698099
2023,M2,TM,LA Boundary,SPUR,582995,163573,51.341784,0.62598254,E,3615,609,125,252,1200,1477,7,31569.627792915533
2023,M2,TM,LA Boundary,SPUR,582995,163573,51.341784,0.62598254,W,3612,606,141,262,1192,1485,7,31455.377741673437
2023,M3,TM,Junction 9 M3,Junction 8 M3,452970,138370,51.142154,-1.2441953,N,2221,622,168,202,823,479,3,26386.2659991293
2023,M3,TM,Junction 9 M3,Junction 8 M3,452970,138370,51.142154,-1.2441953,S,2184,570,164,174,760,581,3,27425.81571936057
2023,M4,TM,LA Boundary,4,506000,178400,51.494616,-0.4744791,E,4046,2071,336,468,455,1089,19,22851.386885984677
2023,M4,TM,LA Boundary,4,506000,178400,51.494616,-0.4744791,W,4039,2063,338,433,539,1028,18,22687.245983254128
2023,M4,TM,LA Boundary,J8/9,486000,176400,51.480029,-0.76298178,N,4233,1501,260,311,603,1779,8,27969.007395786644
2023,M4,TM,LA Boundary,J8/9,486000,176400,51.480029,-0.76298178,S,4125,1569,328,324,495,1655,8,26876.134962320164
2023,M4,TM,LA Boundary,LA Boundary,425850,179410,51.513029,-1.6288866,E,4720,837,273,152,731,2945,3,33736.7702894151
2023,M4,TM,LA Boundary,LA Boundary,425850,179410,51.513029,-1.6288866,W,4546,907,233,189,645,2757,4,33368.015628299894
2023,M5,TM,1,M5 split,402100,292000,52.52587,-1.9704776,N,6708,1768,468,312,756,3491,8,30559.492723798325
2023,M5,TM,1,M5 split,402100,292000,52.52587,-1.9704776,S,7163,2007,533,307,777,3642,10,30101.869296316658
2023,M5,TM,6,5,389552,257699,52.217402,-2.1543472,N,8828,1950,417,331,1154,4993,5,32796.27389830509
2023,M5,TM,6,5,389552,257699,52.217402,-2.1543472,S,8179,1719,372,269,842,4993,5,33299.21085365854
2023,M5,TM,13,12,378823,208915,51.778496,-2.3083562,N,4930,811,315,297,582,2960,7,33840.17196299276
2023,M5,TM,13,12,378823,208915,51.778496,-2.3083562,S,4691,858,304,274,559,2745,7,33216.104487044446
2023,M5,TM,LA Boundary,Junction 17 M5,356097,180335,51.520217,-2.6341491,E,5339,1261,429,354,846,2523,10,30270.0805827033
2023,M5,TM,LA Boundary,Junction 17 M5,356097,180335,51.520217,-2.6341491,W,5422,1062,466,444,814,2724,11,31204.03839884079
2023,M5,TM,LA Boundary,21,338400,157500,51.313262,-2.885205,N,4118,844,195,191,2447,547,3,27254.036432458008
2023,M5,TM,LA Boundary,21,338400,157500,51.313262,-2.885205,S,3625,862,214,167,1843,664,2,27280.316098081024
2023,M5,TM,30,29,296900,92000,50.718452,-3.4618292,N,3267,786,260,226,376,1704,7,30986.381958916343
2023,M5,TM,30,29,296900,92000,50.718452,-3.4618292,S,3328,1236,118,130,151,1757,5,29398.350014718868
2023,M6,TM,1,2,446200,281380,52.428458,-1.321963,E,9850,1694,420,417,1585,5866,6,33853.386463756506
2023,M6,TM,1,2,446200,281380,52.428458,-1.321963,W,9691,1910,303,418,1687,5456,5,33125.88915021986
2023,M6,TM,6,LA Boundary,407000,292500,52.530325,-1.8982441,N,10788,2516,604,580,1446,5651,17,31625.749398927317
2023,M6,TM,6,LA Boundary,407000,292500,52.530325,-1.8982441,S,11454,2542,575,657,1613,6084,19,31940.405918189732
2023,M6,TM,8W,9,401100,296000,52.561832,-1.9852051,E,15843,3580,894,555,2290,8636,15,32146.228741390107
2023,M6,TM,8W,9,401100,296000,52.561832,-1.9852051,W,14378,3578,797,659,2674,6777,15,30626.624137931034
2023,M6,TM,13,14,392220,319740,52.77519,-2.1167669,N,9423,2001,508,325,1685,4982,4,32361.373382430298
2023,M6,TM,13,14,392220,319740,52.77519,-2.1167669,S,9745,1865,430,289,1659,5586,5,33491.58155379297
2023,M6,TM,22,23,359100,396360,53.462387,-2.6174981,N,7298,1160,420,494,2233,3039,11,31545.136332744325
2023,M6,TM,22,23,359100,396360,53.462387,-2.6174981,S,7351,1237,387,488,2339,2966,10,31439.487545442305
2023,M6,TM,26,27,353838,408487,53.570945,-2.6985387,N,5372,1023,241,388,1352,2466,7,31591.49589191163
2023,M6,TM,26,27,353838,408487,53.570945,-2.6985387,S,5643,967,321,264,1474,2737,7,31987.37972270364
2023,M6,TM,31A,32,356500,432900,53.790586,-2.6617764,E,6110,1245,248,686,2530,1493,16,28440.02975233194
2023,M6,TM,31A,32,356500,432900,53.790586,-2.6617764,W,5669,866,253,455,625,3532,15,34348.43195266272
2023,M6,TM,LA Boundary,36,352800,477600,54.191979,-2.7248809,N,3795,555,109,136,382,2636,4,35987.97174254317
